Exercise ID,Source Type,Status,Category,Pattern Category,Pattern Signal,Text,Question,Option 1,Option 2,Option 3,Option 4,Correct Index,Explanation,Quality Score,Created At,Last Used At,Times Used,Exercise Owner,Exercise Summary,Exercise Attempts
12,curated,active,leadership,Alternativ/Procedur,Procedur,För att jag vill driva förändring och skapa nya lösningar som leder till en bättre värld,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Procedur,Intern,2,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
13,curated,active,leadership,Alternativ/Procedur,Alternativ,Utmaning,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Alternativ,3,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
14,curated,active,leadership,Alternativ/Procedur,Alternativ,Den är ny,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Alternativ,3,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
15,curated,active,leadership,Alternativ/Procedur,Alternativ,Utmaningen,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
16,curated,active,leadership,Alternativ/Procedur,Procedur,Jag gillar att jobba med ungdomar,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Procedur,Till,Ifrån,Intern,0,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
17,curated,active,leadership,Alternativ/Procedur,Alternativ,Utmanande,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
18,curated,active,leadership,Alternativ/Procedur,Alternativ,"Jag tycker om att driva utveckling, se människor växa och är intresserad av samhällsfrågor",Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
19,curated,active,leadership,Alternativ/Procedur,Alternativ,Intresse engagemang,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
20,curated,active,leadership,Alternativ/Procedur,Alternativ,För utmaningen och förutsättningarna.,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
21,curated,active,leadership,Alternativ/Procedur,Alternativ,"Spännande arbetsplats, bra möjligheter",Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
22,curated,active,leadership,Alternativ/Procedur,Alternativ,"Nyfiken, vill lära mig nya saker i kombination med ett utmattande dåvarande arbete.",Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Alternativ,3,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
23,curated,active,leadership,Alternativ/Procedur,Procedur,För att jag är en av dem som kan förbättra min kommunikation på mitt arbete.,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Procedur,3,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
24,curated,active,leadership,Alternativ/Procedur,Procedur,Det är där jag behöver utvecklas som ledare,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Procedur,Ifrån,Intern,1,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
25,curated,active,leadership,Alternativ/Procedur,Procedur,Är egenföretagare,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Procedur,Intern,2,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
26,curated,active,leadership,Alternativ/Procedur,Procedur,För att hjälpa människor,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Procedur,3,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
27,curated,active,leadership,Alternativ/Procedur,Alternativ,Jag ville prova på att jobba som chef,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Alternativ,3,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
28,curated,active,leadership,Alternativ/Procedur,Alternativ,För jag vill utveckla människor och verksamhet. Få människor att trivas på jobbet och leverera tillsammans,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Alternativ,Intern,2,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
29,curated,active,leadership,Alternativ/Procedur,Procedur,Flytt till annan ort,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Procedur,Intern,2,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
